Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,041016,2001,23.4,136.6,94.0,33.6,11.6,0.0,31.6,9.4,27.0,68.6,122.3,101.8,659.9
IDCJAC0001,041016,2002,24.6,43.0,69.2,3.4,4.4,28.2,0.0,56.0,7.6,20.4,28.6,73.4,358.8
IDCJAC0001,041016,2003,18.4,89.8,null,34.4,null,74.2,27.6,13.2,0.2,null,58.0,176.2,null
IDCJAC0001,041016,2004,198.8,73.0,57.0,37.0,7.0,2.0,5.8,25.2,13.6,108.0,54.8,179.3,761.5
IDCJAC0001,041016,2005,7.6,7.6,21.6,1.0,17.2,105.4,5.2,4.8,30.1,114.4,null,46.0,null
IDCJAC0001,041016,2006,91.4,null,6.4,23.8,13.6,2.2,29.4,19.0,24.0,1.0,62.0,48.8,null
IDCJAC0001,041016,2007,39.7,70.2,12.0,9.0,5.8,89.0,0.0,101.8,31.6,89.4,119.2,39.6,607.3
IDCJAC0001,041016,2008,39.0,156.1,18.0,13.8,6.0,28.8,48.8,9.8,55.8,21.2,156.4,74.4,628.1
IDCJAC0001,041016,2009,20.0,61.6,6.8,44.7,84.0,42.6,4.2,4.3,16.0,7.6,38.6,41.7,372.1
IDCJAC0001,041016,2010,34.4,54.4,156.5,8.8,23.6,7.2,38.0,74.1,67.2,63.0,88.7,399.6,1015.5
IDCJAC0001,041016,2011,209.4,24.3,132.4,26.3,86.4,5.0,12.0,51.9,19.0,110.4,45.2,75.2,797.5
IDCJAC0001,041016,2012,88.9,16.4,33.0,49.6,28.2,80.3,null,11.0,3.2,34.7,37.3,null,null
IDCJAC0001,041016,2013,183.8,null,71.8,31.4,26.6,43.0,40.2,2.0,3.6,15.6,24.1,28.2,null
IDCJAC0001,041016,2014,33.1,15.1,178.2,1.4,10.4,19.4,7.8,45.2,6.2,16.8,null,179.4,null
IDCJAC0001,041016,2015,87.0,35.4,37.4,27.8,141.2,20.6,null,30.4,25.6,29.0,86.4,117.4,null
IDCJAC0001,041016,2016,104.2,null,13.8,11.6,15.0,40.1,null,49.6,131.4,50.2,35.8,54.5,null
IDCJAC0001,041016,2017,47.2,37.9,214.5,7.2,6.0,27.6,12.6,4.4,0.0,87.8,16.6,null,null
IDCJAC0001,041016,2018,14.0,87.8,133.4,0.0,1.6,15.6,10.2,16.8,22.2,106.5,37.4,191.2,636.7
IDCJAC0001,041016,2019,6.4,6.3,77.6,2.8,3.0,33.0,0.9,6.2,null,null,null,null,null
